,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,1.2045467,1.2056428,1.3855156,1.3872621,1.3884667,1.3965572
1,1.2383856,1.1784432,1.3855344,1.3872621,1.387309,1.3965572
2,1.1956211,1.3107206,1.3853058,1.3872621,1.3895897,1.3965572
3,1.2749852,1.238654,1.3857361,1.3872621,1.3890646,1.3965572
4,1.278956,1.279365,1.3857719,1.3872621,1.3885474,1.3965572
5,1.190774,1.3198836,1.3835895,1.3872621,1.386427,1.3965572
6,1.3564868,1.2475864,1.3866652,1.3872621,1.3871135,1.3965572
7,1.3921157,1.3895884,1.3849643,1.3872621,1.3882635,1.3965572
8,1.2213134,1.4082735,1.385719,1.3872621,1.3897198,1.3965572
9,1.2636725,1.2624488,1.3855057,1.3872621,1.381501,1.3965572
10,1.2111368,1.228035,1.3857986,1.3872621,1.3856847,1.3965572
11,1.2506316,1.3401328,1.385051,1.3872621,1.3899881,1.3965572
12,1.2340117,1.2299911,1.3862649,1.3872621,1.387129,1.3965572
13,1.2059335,1.2034246,1.3850402,1.3872621,1.3846288,1.3965572
14,1.1651164,1.247633,1.3869365,1.3872621,1.3841825,1.3965572
15,1.9076055,1.3477484,1.3850238,1.3872621,1.3902389,1.3965572
16,1.1385759,1.1378357,1.3861318,1.3872621,1.3829374,1.3965572
17,1.1729642,1.1721088,1.3850089,1.3872621,1.3887396,1.3965572
18,1.2425287,1.1675783,1.3862768,1.3872621,1.3813896,1.3965572
19,1.3738682,1.1277721,1.3857611,1.3872621,1.3862634,1.3965572
