,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,1.0793931,1.0951908,1.4753399,1.2422371,1.2864747,1.2284365
1,1.145005,1.1301692,1.3527545,1.2716725,1.4109585,1.2683343
2,1.20168,1.2981417,1.3480889,1.2540274,1.3542671,1.2286128
3,1.5431478,1.5454705,1.2600545,1.2050577,1.3045969,1.2764503
4,1.6144407,1.2760003,1.3033116,1.2044759,1.1072601,2.1006541
5,1.2326094,1.2319443,1.2066561,1.8712299,1.2065718,1.7596743
6,1.32454,1.2133167,0.9397158,1.4867243,0.62756944,4.4484715
7,1.6719478,1.0518808,1.2768753,4.6438036,0.5421754,1.6787512
8,1.4983456,1.4823276,0.75624406,1.8568217,0.28641155,0.8278597
9,1.1906129,1.5114999,0.76604086,1.5716655,0.5091879,0.9459135
10,1.339359,1.2520247,0.612227,1.9568306,0.47131965,0.92624533
11,1.7002497,1.2631112,0.5940569,0.8721727,0.5195544,0.44879597
12,1.7121439,1.6610463,0.4138809,0.502974,0.36215404,0.37434754
13,1.3313667,1.3802992,0.18406472,1.1452007,0.2124134,0.10896597
14,1.2323171,1.2921243,0.4904461,1.5029925,0.1688251,0.64414907
15,1.2482935,1.0107337,0.15414208,0.48556527,0.60702926,0.121387064
16,1.0671152,0.871178,0.038860045,0.833243,0.22460136,0.026226979
17,2.3234797,1.0237802,0.19204931,0.08490119,0.13931614,0.14570346
18,1.1465207,1.1395941,0.16733386,0.018434782,0.006508052,0.46842766
19,1.1029354,1.0956194,0.029222228,0.022220707,0.13100013,0.49161825
